# id	work_iri	expected_title	image_expectation	coverage
mona-lisa	https://artresearch.net/resource/pharos/artwork/0c6efbedc68a28df2a0fc93479202c6533b8dcd4	Mona Lisa	required	canonical aggregate; alternate titles; Leonardo da Vinci
las-meninas	https://artresearch.net/resource/frick/work/991012520279707141	Las Meninas	required	Velazquez; exact production year
guernica	https://data.rkd.nl/images/222754	Guernica	required	Picasso; exact production year
sunflowers	https://artresearch.net/resource/frick/work/991000128789707141	Sunflowers.	required	Van Gogh; repeated creator and date facets
cafe-terrace-at-night	https://artresearch.net/resource/frick/work/991000988029707141	Cafe Terrace at Night	required	Van Gogh; repeated creator and date facets
the-red-vineyard	https://artresearch.net/resource/frick/work/991000936599707141	The Red Vineyard	required	Van Gogh; repeated creator and date facets
the-old-guitarist	https://artresearch.net/resource/frick/work/991000980959707141	The Old Guitarist	required	Picasso; repeated creator facet
the-hay-wain	https://artresearch.net/resource/pmc/work/466543	The Hay Wain	required	Constable; missing production date
the-blue-boy	https://artresearch.net/resource/pmc/work/467573	The Blue Boy	required	Gainsborough; missing production date
ophelia	https://artresearch.net/resource/pmc/work/491080	Ophelia	required	Millais; missing production date
the-nightmare	https://artresearch.net/resource/pmc/work/500373	The Nightmare	required	Fuseli; missing production date
the-gleaners	https://artresearch.net/resource/frick/work/991011709059707141	The Gleaners	required	Millet; broad production range
venus-of-willendorf	https://artresearch.net/resource/midas/work/20274401	Venus von Willendorf	required	BCE production range
cro-magnon-idol	https://artresearch.net/resource/midas/work/20076541	Weibliches Idol der Cro-Magnon-Zeit	optional	wide BCE production range
ibex	https://artresearch.net/resource/midas/work/20099514	Steinbock	optional	BCE production range; drawing type
bison	https://artresearch.net/resource/midas/work/20140077	Bison	required	BCE production range; wall painting type
deer-hunt	https://artresearch.net/resource/midas/work/20140363	Hirschjagd	optional	BCE production range; repeated type and dates
fountain-zero-width	https://artresearch.net/resource/midas/work/20885785	Brunnen	required	zero-width BCE range; multiple production ranges
monastery-begin-only	https://artresearch.net/resource/doaks/work/22352789	Monastery seen from the north	required	begin-only production range
venus-cupid-end-only	https://data.rkd.nl/images/309984	Venus and Cupid with a Satyr	optional	end-only production range
